City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
180,Pangai,TO,86.11,few clouds,-19.8,-174.35,Ha'apai Beach Resort
183,Mackay,AU,82.38,broken clouds,-21.15,149.2,International Lodge Motel
187,Moree,AU,78.82,clear sky,-29.4667,149.85,Molika Springs Motel
193,Lorengau,PG,82.67,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
194,Caravelas,BR,76.19,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
196,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
201,Bambous Virieux,MU,81.21,light rain,-20.3428,57.7575,Casa Tia Villa
203,Harper,LR,77.81,broken clouds,4.375,-7.7169,Screensaver
205,Cockburn Town,TC,78.76,few clouds,21.4612,-71.1419,Osprey Beach Hotel
207,Pundaguitan,PH,80.1,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
212,Omboue,GA,78.24,overcast clouds,-1.5746,9.2618,Hotel Olako
213,Kollam,IN,76.87,broken clouds,8.8833,76.6,Nani Hotels and Resorts
217,Cabo San Lucas,MX,83.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
218,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
219,Faanui,PF,80.92,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
222,Alofi,NU,85.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
229,Isangel,VU,85.08,overcast clouds,-19.55,169.2667,Tanna Lodge
235,Puerto Escondido,MX,85.03,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
238,Yulara,AU,78.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
244,Anaco,VE,78.46,overcast clouds,9.4389,-64.4728,SAIVEN MALL (SAIVEN C.A.)
247,Barao De Melgaco,BR,77.52,overcast clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
248,Domoni,KM,78.58,clear sky,-12.2569,44.5319,Al Djadid
249,Vao,NC,79.74,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
251,Hillsborough,US,81.28,clear sky,37.5741,-122.3794,Hyatt Regency San Francisco Airport
259,Labuan,MY,78.96,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
262,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
265,Tautira,PF,87.82,light rain,-17.7333,-149.15,Pension Oaoa
267,Pandi,PH,79.11,broken clouds,14.8872,120.8572,St. Agatha Resort
271,Fomboni,KM,81.45,clear sky,-12.28,43.7425,Auberge les abou
272,Pran Buri,TH,80.98,scattered clouds,12.3847,99.9098,Waterside Resort
277,Port Moresby,PG,81.82,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
281,Ahuimanu,US,80.78,broken clouds,21.4447,-157.8378,Paradise Bay Resort
283,Lazaro Cardenas,MX,81.95,broken clouds,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
288,Augusto Correa,BR,75.29,light rain,-1.0217,-46.635,Fazenda Bacuri
289,Jeremie,HT,77.85,scattered clouds,18.65,-74.1167,Auberge’Inn
295,Mahina,PF,87.57,broken clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
297,Road Town,VG,77.04,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
298,Buala,SB,81.97,light rain,-8.145,159.5921,Maringe Lagoon Lodge
308,Touros,BR,83.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
