City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
30,Lampa,CL,2022-02-10 08:01:36,-33.2833,-70.9,66.63,81,11,1.45
31,Faanui,PF,2022-02-10 08:01:36,-16.4833,-151.75,81.1,77,74,15.05
32,Richards Bay,ZA,2022-02-10 08:01:37,-28.783,32.0377,83.43,60,31,4.12
33,Bambous Virieux,MU,2022-02-10 08:01:37,-20.3428,57.7575,84.45,65,40,9.22
34,Saint-Philippe,RE,2022-02-10 08:01:38,-21.3585,55.7679,83.75,73,17,8.99
35,Manoel Urbano,BR,2022-02-10 08:01:38,-8.8389,-69.2597,71.42,99,100,1.97
36,Dunedin,NZ,2022-02-10 08:01:38,-45.8742,170.5036,62.33,98,27,0.49
37,Bengkulu,ID,2022-02-10 08:01:39,-3.8004,102.2655,79.77,68,100,5.17
38,Yellowknife,CA,2022-02-10 08:00:00,62.456,-114.3525,-5.58,83,100,21.85
39,Bethel,US,2022-02-10 08:01:34,41.3712,-73.414,35.1,87,80,3.18
40,Muisne,EC,2022-02-10 08:01:39,0.6,-80.0333,74.89,92,100,4.59
41,Butaritari,KI,2022-02-10 08:01:40,3.0707,172.7902,82.42,78,91,17.36
42,Khatanga,RU,2022-02-10 08:01:40,71.9667,102.5,1.81,94,100,16.71
43,Jijiga,ET,2022-02-10 08:01:41,9.35,42.8,74.86,15,100,10.07
44,Kandrian,PG,2022-02-10 08:01:41,-6.2167,149.55,82.33,79,100,0.89
45,San Jose,US,2022-02-10 07:57:14,37.3394,-121.895,63.19,53,0,1.99
46,Hilo,US,2022-02-10 08:01:42,19.7297,-155.09,68.11,94,33,1.99
47,Puerto Ayora,EC,2022-02-10 08:01:42,-0.7393,-90.3518,72.66,86,66,6.53
48,Rocha,UY,2022-02-10 08:01:43,-34.4833,-54.3333,58.66,93,5,5.61
49,Thompson,CA,2022-02-10 08:01:43,55.7435,-97.8558,-7.42,99,100,4.92
50,Sao Miguel Do Araguaia,BR,2022-02-10 08:01:44,-13.275,-50.1628,70.48,98,100,5.3
51,Avarua,CK,2022-02-10 08:01:44,-21.2078,-159.775,78.85,89,75,3.44
52,Kapaa,US,2022-02-10 08:01:45,22.0752,-159.319,68.18,76,46,4.99
53,Tuktoyaktuk,CA,2022-02-10 08:01:45,69.4541,-133.0374,-10.73,96,100,11.21
54,Pacific Grove,US,2022-02-10 08:01:45,36.6177,-121.9166,62.49,49,0,5.01
55,Cape Town,ZA,2022-02-10 07:57:02,-33.9258,18.4232,70.88,81,75,4.61
56,Jacareacanga,BR,2022-02-10 08:01:46,-6.2222,-57.7528,71.91,95,100,1.39
57,Rincon,US,2022-02-10 08:00:12,32.296,-81.2354,46.13,64,0,5.08
58,East London,ZA,2022-02-10 07:58:36,-33.0153,27.9116,74.34,60,0,11.5
59,Hobyo,SO,2022-02-10 08:01:47,5.3505,48.5268,81.28,57,94,24.07
60,Reforma,MX,2022-02-10 08:01:47,18.1,-91.0167,60.73,95,14,4.18
61,Teguise,ES,2022-02-10 08:01:48,29.0605,-13.564,66.42,32,0,2.3
62,Constitucion,CL,2022-02-10 08:01:48,-35.3333,-72.4167,57.27,85,40,6.38
63,Arraial Do Cabo,BR,2022-02-10 08:01:49,-22.9661,-42.0278,69.62,94,100,2.93
64,College,US,2022-02-10 07:57:28,64.8569,-147.8028,-2.99,79,100,9.22
65,Bluff,NZ,2022-02-10 08:01:10,-46.6,168.3333,65.8,90,98,7.29
66,Georgetown,MY,2022-02-10 07:56:53,5.4112,100.3354,85.95,72,20,5.99
67,Kolyshley,RU,2022-02-10 08:01:49,52.7005,44.5367,30.11,93,98,7.56
68,Chokurdakh,RU,2022-02-10 08:01:50,70.6333,147.9167,-22.58,94,92,10.65
69,Portalegre,PT,2022-02-10 08:01:50,39.2938,-7.4312,41.5,70,23,3.18
70,Barrow,US,2022-02-10 08:01:51,71.2906,-156.7887,-16.58,69,100,8.05
71,Broken Hill,AU,2022-02-10 08:01:51,-31.95,141.4333,83.79,26,0,17.36
72,Albany,US,2022-02-10 07:59:41,42.6001,-73.9662,39.81,74,100,4.52
73,Narsaq,GL,2022-02-10 08:01:52,60.9167,-46.05,12.42,69,22,8.19
74,Ghanzi,BW,2022-02-10 08:01:52,-21.5667,21.7833,85.1,35,20,7.56
75,Azangaro,PE,2022-02-10 08:01:52,-14.9167,-70.2167,41.58,89,86,2.35
76,Victoria,HK,2022-02-10 08:00:04,22.2855,114.1577,69.19,86,78,3.0
77,Muzhi,RU,2022-02-10 08:01:53,65.3667,64.6667,10.94,93,100,14.32
78,Katsuura,JP,2022-02-10 08:01:53,35.1333,140.3,39.22,90,100,9.1
79,Joaquim Gomes,BR,2022-02-10 08:01:54,-9.1373,-35.7519,73.65,84,92,5.19
80,Lebu,CL,2022-02-10 08:01:54,-37.6167,-73.65,57.6,85,100,22.37
81,Henderson,US,2022-02-10 07:59:46,36.0397,-114.9819,64.38,29,0,13.8
